,L1,L2
1993-04-29,1.0597184631297017e-06,2.0595242006261607e-05
1993-04-30,1.049975129268407e-06,2.054996456258763e-05
1993-05-03,1.049975129268407e-06,2.054996456258763e-05
1993-05-04,1.049975129268407e-06,2.054996456258763e-05
1993-05-05,1.3554847112609976e-06,2.323221896136657e-05
1993-05-06,1.3373970469664961e-06,2.3070392602664064e-05
1993-05-07,1.0052283306387657e-06,1.5902639013248655e-05
1993-05-10,8.314022663008183e-07,1.3348418794932598e-05
1993-05-11,5.644164026168012e-07,1.0172530204906164e-05
1993-05-12,5.631786764013138e-07,1.0170490631068802e-05
1993-05-13,6.278040078288901e-07,1.1379336974768612e-05
1993-05-14,6.842919221272253e-07,1.3052712594479954e-05
1993-05-17,6.556820731478932e-07,1.2852464243960562e-05
1993-05-18,6.722905449703403e-07,1.2385907815244807e-05
1993-05-19,8.24515386377299e-07,1.655692431646362e-05
1993-05-20,1.1104066683094335e-06,2.0274131974055954e-05
1993-05-21,1.1393888957486485e-06,2.043816586789176e-05
1993-05-24,1.253342761320631e-06,2.1028944299607122e-05
1993-05-25,6.094650096546104e-07,1.1704226880706728e-05
1993-05-26,5.311146408727011e-07,1.0998030830776519e-05
1993-05-27,3.348844038561386e-07,7.933969048548638e-06
1993-05-28,6.394954630104548e-07,1.3251303386236309e-05
1993-06-01,6.454056269008853e-07,1.326984067147429e-05
1993-06-02,7.606591018527509e-07,1.4207444658862189e-05
1993-06-03,5.893903264907883e-07,1.0743561399053091e-05
1993-06-04,8.274689816769698e-07,1.5419774780104375e-05
1993-06-07,1.1706162961990982e-06,1.8707567741245708e-05
1993-06-08,1.145062905521499e-06,1.803089629035383e-05
1993-06-09,1.0767763652166445e-06,1.7473222897262266e-05
1993-06-10,1.2612380858198625e-06,1.8423363731141973e-05
1993-06-11,1.2162267958804243e-06,1.8205190711318217e-05
1993-06-14,1.1840505251935172e-06,1.8126540057644522e-05
1993-06-15,1.1786980693548796e-06,1.8106663881468532e-05
1993-06-16,1.2504603856122154e-06,1.8458993887741637e-05
1993-06-17,1.0377124117091072e-06,1.727670939990318e-05
1993-06-18,9.819875565784746e-07,1.5640042957468423e-05
1993-06-21,1.2104928619125604e-06,1.801508106720024e-05
1993-06-22,1.2260452845859638e-06,1.8345666496503415e-05
1993-06-23,1.2260452845859638e-06,1.8345666496503415e-05
1993-06-24,1.1204841102522778e-06,1.7588435672608523e-05
1993-06-25,6.181730192915452e-07,1.1063536067079602e-05
1993-06-28,6.181730192915452e-07,1.1063536067079602e-05
1993-06-29,7.49866935180124e-07,1.2874036634570109e-05
1993-06-30,6.810133627739975e-07,1.1995049589701196e-05
1993-07-01,6.742054328422914e-07,1.1930526268121855e-05
1993-07-02,9.573526312748702e-07,1.5634418506855235e-05
1993-07-06,1.0309091497454741e-06,1.8019222945541373e-05
1993-07-07,1.0309091497454741e-06,1.8019222945541373e-05
1993-07-08,1.137811381181697e-06,1.865352341663902e-05
1993-07-09,1.2465772547541117e-06,1.9574231741541158e-05
1993-07-12,1.0953721848355068e-06,1.8436059233175633e-05
1993-07-13,1.2035439672212246e-06,1.9565262741920536e-05
