,L1,L2
2018-07-26,4.833203106749744e-06,4.844897810111966e-05
2018-07-27,4.82571606326722e-06,4.844451752718888e-05
2018-07-30,4.595971312357216e-06,4.7681636221193106e-05
2018-07-31,4.6454622510274305e-06,4.782465997816027e-05
2018-08-01,4.7032982871078076e-06,4.7902738747726197e-05
2018-08-02,5.55583113530411e-06,5.349570407717297e-05
2018-08-03,4.637338650940793e-06,4.584148552246671e-05
2018-08-06,3.6726782366638085e-06,3.845640194899534e-05
2018-08-07,3.744842879812061e-06,3.870337924789235e-05
2018-08-08,3.4755446621917543e-06,3.791801383373275e-05
2018-08-09,5.280065635363064e-06,5.745632625495231e-05
2018-08-10,7.266094472146251e-06,7.324606225344084e-05
2018-08-13,7.259024484604254e-06,7.324332250802821e-05
2018-08-14,7.3676981067066325e-06,7.321158088161223e-05
2018-08-15,7.3676981067066325e-06,7.321158088161223e-05
2018-08-16,7.3676981067066325e-06,7.321158088161223e-05
2018-08-17,7.372515189776665e-06,7.321313724602595e-05
2018-08-20,6.647585530817506e-06,7.102938532523747e-05
2018-08-21,6.647585530817506e-06,7.102938532523747e-05
2018-08-22,6.906225772581452e-06,7.164438421634562e-05
2018-08-23,6.844224150105806e-06,7.148108629144829e-05
2018-08-24,6.502631807645512e-06,6.956388261145061e-05
2018-08-27,6.561904419853446e-06,6.963315976682613e-05
2018-08-28,6.561904419853446e-06,6.963315976682613e-05
2018-08-29,6.4048638620574134e-06,6.870728262192222e-05
2018-08-30,5.547440267451752e-06,5.867519785894514e-05
2018-08-31,5.4526898719545186e-06,5.850951780783669e-05
2018-09-04,5.480912593020641e-06,5.859231147741882e-05
2018-09-05,6.622960610076352e-06,6.51022099837921e-05
2018-09-06,7.497124487244469e-06,7.177490723951025e-05
2018-09-07,7.627904801697111e-06,7.200233867371611e-05
2018-09-10,7.73613472723745e-06,7.229201845435797e-05
2018-09-11,6.549813841627002e-06,6.467689055827406e-05
2018-09-12,7.1252987794822295e-06,6.899142147049917e-05
2018-09-13,7.193057280489175e-06,6.908605091159839e-05
2018-09-14,4.58928509250892e-06,4.6721474383453217e-05
2018-09-17,4.760425824667182e-06,4.758359681674345e-05
2018-09-18,4.701124961836765e-06,4.74823354464993e-05
2018-09-19,4.7209757215327106e-06,4.750197732362727e-05
2018-09-20,5.4023443615031336e-06,5.2683890490226964e-05
2018-09-21,5.411251738880302e-06,5.2689184005714335e-05
2018-09-24,5.3916247530826625e-06,5.1838559883812375e-05
2018-09-25,5.254960125406459e-06,5.1345309168165316e-05
2018-09-26,5.063526282624152e-06,5.079897932744559e-05
2018-09-27,5.063526282624152e-06,5.079897932744559e-05
2018-09-28,5.191414005687805e-06,5.108743691123349e-05
2018-10-01,5.693158299091095e-06,5.375847839209298e-05
2018-10-02,5.811008230026838e-06,5.3504516279784374e-05
2018-10-03,6.239522400931538e-06,5.547009954325695e-05
2018-10-04,6.239522400931538e-06,5.547009954325695e-05
2018-10-05,5.376477893784792e-06,4.91857447088507e-05
2018-10-08,4.9203859985538915e-06,4.6892999517777136e-05
2018-10-09,4.770208768161278e-06,4.647725256501473e-05
2018-10-10,4.695903176995092e-06,4.633199662546321e-05
2018-10-11,4.79707953360729e-06,4.7312267930518474e-05
2018-10-12,4.561787165414778e-06,4.521124691147915e-05
2018-10-15,4.750782109557606e-06,4.578602292202759e-05
2018-10-16,4.557175072513863e-06,4.494864237090693e-05
2018-10-17,4.41642309991109e-06,4.457952293793013e-05
2018-10-18,4.41642309991109e-06,4.457952293793013e-05
2018-10-19,4.419119627042425e-06,4.458051478958856e-05
2018-10-22,4.8668804640217885e-06,4.676712637714099e-05
2018-10-23,3.67293109821491e-06,3.7914679923164845e-05
2018-10-24,3.67293109821491e-06,3.7914679923164845e-05
2018-10-25,3.6246454265706705e-06,3.7821352098191534e-05
2018-10-26,3.6246454265706705e-06,3.7821352098191534e-05
